Symbol,Sector,Industry
UBL.NS,Consumer Defensive,Beverages - Brewers
UNITDSPR.NS,Consumer Defensive,Beverages - Wineries & Distilleries
USHAMART.NS,Basic Materials,Steel
VGUARD.NS,Industrials,Electrical Equipment & Parts
DBREALTY.NS,Real Estate,Real Estate - Development
VTL.NS,Consumer Cyclical,Textile Manufacturing
VBL.NS,Consumer Defensive,Beverages - Non-Alcoholic
MANYAVAR.NS,Consumer Cyclical,Apparel Manufacturing
VEDL.NS,Basic Materials,Other Industrial Metals & Mining
VIJAYA.NS,Healthcare,Diagnostics & Research
VMM.NS,Consumer Cyclical,Department Stores
IDEA.NS,Unknown,Unknown
VOLTAS.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
WAAREEENER.NS,Technology,Solar
WELCORP.NS,Basic Materials,Steel
WELSPUNLIV.NS,Consumer Cyclical,Textile Manufacturing
WESTLIFE.NS,Consumer Cyclical,Restaurants
WHIRLPOOL.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
WIPRO.NS,Technology,Information Technology Services
WOCKPHARMA.NS,Healthcare,Drug Manufacturers - Specialty & Generic
YESBANK.NS,Financial Services,Banks - Regional
ZFCVINDIA.NS,Consumer Cyclical,Auto Parts
ZEEL.NS,Communication Services,Broadcasting
ZENTEC.NS,Industrials,Aerospace & Defense
ZENSARTECH.NS,Technology,Information Technology Services
ZYDUSLIFE.NS,Healthcare,Drug Manufacturers - Specialty & Generic
ECLERX.NS,Technology,Information Technology Services
